symbol,platforms_with_ids
ggg,"{""0xd8047afecb86e44eff3add991b9f063ed4ca716b"":""good-games-guild""}"
thc,"{""0x479673391b3818f5e3ed2fa69a58e13d685becf6"":""tinhatcat"",""0x56083560594e314b5cdd1680ec6a493bb851bbd8"":""transhuman-coin""}"
inqu,"{""0x31bd628c038f08537e0229f0d8c0a7b18b0cda7b"":""intelliquant""}"
loot,"{""0x14a9a94e555fdd54c21d7f7e328e61d7ebece54b"":""loot"",""0x721a1b990699ee9d90b6327faad0a3e840ae8335"":""loot"",""0xb478c6245e3d85d6ec3486b62ea872128d562541"":""lootbot"",""0xe4129c7b229812212f88d1bd6a223c45622e6b85"":""looted-network""}"
tbos,"{""0xb446566d6d644249d5d82aab5fea8a5b7da3f691"":""aktionariat-tbo-co-comon-accelerator-holding-ag-tokenized-shares""}"
edns,"{""0x14ee88cd0e3c1534bff13d6d716b8575532c7138"":""edns-domains""}"
mvx,"{""0x0018d96c579121a94307249d47f053e2d687b5e7"":""metavault-trade"",""0x10c9524dbf934b3b625dce3bdc0efdc367f4e84b"":""mavaverse-token"",""0x2760e46d9bb43dafcbecaad1f64b93207f9f0ed7"":""metavault-trade"",""0xc8ac6191cdc9c7bf846ad6b52aaaa7a0757ee305"":""metavault-trade""}"
$rocky,"{""0x3636a7734b669ce352e97780df361ce1f809c58c"":""rocky-on-base""}"
pred,"{""0xbdd2e3fdb879aa42748e9d47b7359323f226ba22"":""predictcoin""}"
selo,"{""0x342633c4a7f91094096e15b513f039af52e960d9"":""selo""}"
chfp,"{""0x3f0c858c26775df75e45934b189154c436bd7335"":""superfrank""}"
matic,"{""0x0000000000000000000000000000000000001010"":""matic-network"",""0x009134d5c7b7fda8863985531f456f89bef5fbd76684a8acdb737b3e451d0877"":""matic-network"",""0x0f52a51287f9b3894d73df05164d0ee2533ccbb4"":""bridged-matic-manta-pacific"",""0x21ad243b81eff53482f6f6e7c76539f2cfc0b734"":""bifrost-bridged-matic-bifrost"",""0x301259f392b551ca8c592c9f676fcd2f9a0a84c5"":""matic-network"",""0x3405a1bd46b85c5c029483fbecf2f3e611026e45"":""matic-network"",""0x682f81e57eaa716504090c3ecba8595fb54561d8"":""matic-network"",""0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0"":""matic-network"",""0x861bf3d382593ed848972cadfacba9749adce101"":""bridged-matic-fuse"",""0x98997e1651919faeacee7b96afbb3dfd96cb6036"":""matic-network"",""0xcc42724c6683b7e57334c4e856f4c9965ed682bd"":""matic-network""}"
bowie,"{""0xcae0dd4bda7ff3e700355c7629b24d5d728bd2ce"":""bowie""}"
cobe,"{""0xc61edb127f58f42f47a8be8aebe83cf602a53878"":""castle-of-blackwater""}"
dis,"{""0x0e121961dd741c9d49c9a04379da944a9d2fac7a"":""tosdis"",""0x220b71671b649c03714da9c621285943f3cbcdc6"":""tosdis"",""0x57effde2759b68d86c544e88f7977e3314144859"":""tosdis"",""0xe2ecc66e14efa96e9c55945f79564f468882d24c"":""disney""}"
peth,"{""0x821a278dfff762c76410264303f25bf42e195c0c"":""peth""}"
