app,ts,event,project_id,source,ident,user_id,session_id,country,device_type,device_os,device_os_ver,device_browser,device_browser_ver,props,nums
seq-market,2024-04-15 02:15:07.167,BUY_ITEMS,4974,,1,0896ae95dcaeee38e83fa5c43bef99780d7b2be23bcab36214,5d8afd8fec2fbf3e,DE,desktop,linux,x86_64,chrome,122.0.0.0,"{""tokenId"":""215"",""txnHash"":""0xd919290e80df271e77d1cbca61f350d2727531e0334266671ec20d626b2104a2"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""marketplaceType"":""amm"",""requestId"":"""",""currencySymbol"":""SFL"",""additionalProps"":""""}","{""currencyValueDecimal"":""0.6136203411678249"",""currencyValueRaw"":""613620341167824900"",""additionalNums"":""""}"
seq-market,2024-04-15 02:26:37.134,BUY_ITEMS,4974,,1,0896ae95dcaeee38e83fa5c43bef99780d7b2be23bcab36214,5d8afd8fec2fbf3e,DE,desktop,linux,x86_64,chrome,122.0.0.0,"{""tokenId"":""602"",""txnHash"":""0x1133d2837267e0de2eddf3655a3df99e055d172cb53c4e8e108e70322438e994"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""marketplaceType"":""amm"",""requestId"":"""",""currencySymbol"":""SFL"",""additionalProps"":""""}","{""currencyValueDecimal"":""2.361412166673735"",""currencyValueRaw"":""2361412166673735000"",""additionalNums"":""""}"
seq-market,2024-04-15 02:42:32.507,BUY_ITEMS,4974,,1,0896ae95dcaeee38e83fa5c43bef99780d7b2be23bcab36214,73ffe889f5223b5e,DE,desktop,linux,x86_64,chrome,122.0.0.0,"{""tokenId"":""201"",""txnHash"":""0x6c51abf80365cbf6a8a03d9e5fe939712742dff4b088d4f99ba44551907e5c2f"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""marketplaceType"":""amm"",""requestId"":"""",""currencySymbol"":""SFL"",""additionalProps"":""""}","{""currencyValueDecimal"":""0.36452862533442193"",""currencyValueRaw"":""364528625334421950"",""additionalNums"":""""}"
seq-market,2024-04-15 11:24:12.561,BUY_ITEMS,4974,,1,0896ae95dcaeee38e83fa5c43bef99780d7b2be23bcab36214,7a5bfa068c342272,DE,desktop,linux,x86_64,chrome,122.0.0.0,"{""tokenId"":""601"",""txnHash"":""0xcd5e34370546c26bc426bcfda6fcfc8fd0e08d2be6ee2e00f4d6d455318f8640"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""marketplaceType"":""amm"",""requestId"":"""",""currencySymbol"":""SFL"",""additionalProps"":""""}","{""currencyValueDecimal"":""3.2776439715275094"",""currencyValueRaw"":""3277643971527509500"",""additionalNums"":""""}"
seq-market,2024-04-15 02:08:15.088,BUY_ITEMS,4974,,1,0a1fd56b098f1a67d704a3df8dde57ff5203079ce41c514e37,c475e0029ed26c38,BR,desktop,windows,10.0,firefox,124.0,"{""tokenId"":""208"",""txnHash"":""0xbf4fdb8f0fc7728370d03b196ef912c88ad7b7279207756bef19f8974c6ce8da"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""marketplaceType"":""amm"",""requestId"":"""",""currencySymbol"":""SFL"",""additionalProps"":""""}","{""currencyValueDecimal"":""0.31272612158806923"",""currencyValueRaw"":""312726121588069250"",""additionalNums"":""""}"
seq-market,2024-04-15 20:31:37.261,BUY_ITEMS,4974,,1,0a1fd56b098f1a67d704a3df8dde57ff5203079ce41c514e37,917606bc7c7a5a01,BR,desktop,windows,10.0,firefox,124.0,"{""tokenId"":""215"",""txnHash"":""0x31a25e8f45c16f5c512b773d0b67cb61c1986d1a3e6c86ecfa3036149ee1fc3a"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""marketplaceType"":""amm"",""requestId"":"""",""currencySymbol"":""SFL"",""additionalProps"":""""}","{""currencyValueDecimal"":""0.7632795760358156"",""currencyValueRaw"":""763279576035815600"",""additionalNums"":""""}"
seq-market,2024-04-15 23:11:53.663,BUY_ITEMS,0,,1,0ad0ccaf38917d9f4605300745d52b14290a8b42c947238e91,9cdc648111fae27f,BR,desktop,windows,10.0,chrome,123.0.0.0,"{""tokenId"":""603"",""txnHash"":""0xffae880825d153bca4ae0372112aff3aa8a65e11c7b01b6f76c42190cbda349f"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""marketplaceType"":""amm"",""requestId"":"""",""currencySymbol"":""SFL"",""additionalProps"":""""}","{""currencyValueDecimal"":""5.5983751242245035"",""currencyValueRaw"":""5598375124224504000"",""additionalNums"":""""}"
seq-market,2024-04-15 23:11:53.663,BUY_ITEMS,0,,1,0ad0ccaf38917d9f4605300745d52b14290a8b42c947238e91,9cdc648111fae27f,BR,desktop,windows,10.0,chrome,123.0.0.0,"{""tokenId"":""211"",""txnHash"":""0xffae880825d153bca4ae0372112aff3aa8a65e11c7b01b6f76c42190cbda349f"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""marketplaceType"":""amm"",""requestId"":"""",""currencySymbol"":""SFL"",""additionalProps"":""""}","{""currencyValueDecimal"":""1.0489661999417654"",""currencyValueRaw"":""1048966199941765500"",""additionalNums"":""""}"
seq-market,2024-04-15 23:11:53.663,BUY_ITEMS,0,,1,0ad0ccaf38917d9f4605300745d52b14290a8b42c947238e91,9cdc648111fae27f,BR,desktop,windows,10.0,chrome,123.0.0.0,"{""tokenId"":""204"",""txnHash"":""0xffae880825d153bca4ae0372112aff3aa8a65e11c7b01b6f76c42190cbda349f"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""marketplaceType"":""amm"",""requestId"":"""",""currencySymbol"":""SFL"",""additionalProps"":""""}","{""currencyValueDecimal"":""0.3371325186772017"",""currencyValueRaw"":""337132518677201660"",""additionalNums"":""""}"
seq-market,2024-04-15 23:20:21.816,BUY_ITEMS,0,,1,0ad0ccaf38917d9f4605300745d52b14290a8b42c947238e91,9cdc648111fae27f,BR,desktop,windows,10.0,chrome,123.0.0.0,"{""tokenId"":""604"",""txnHash"":""0xa4bde070809c6159db5ef559b0e7617aa1494e91bbf10024418308dbed8a219c"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""marketplaceType"":""amm"",""requestId"":"""",""currencySymbol"":""SFL"",""additionalProps"":""""}","{""currencyValueDecimal"":""4.881922726064293"",""currencyValueRaw"":""4881922726064293000"",""additionalNums"":""""}"
seq-market,2024-04-15 02:30:03.454,BUY_ITEMS,0,,1,22c9aefb48bba7526ee2196b2cc34f0ac47ba689aa8f50c6b7,ad99554bcd1d6917,PT,desktop,windows,10.0,chrome,123.0.0.0,"{""tokenId"":""601"",""txnHash"":""0xc289218b8917c5fb670747fbf7d41b76b4d8d42a67e59f019032a4a48fa8a47e"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""marketplaceType"":""amm"",""requestId"":"""",""currencySymbol"":""SFL"",""additionalProps"":""""}","{""currencyValueDecimal"":""148.44940635976187"",""currencyValueRaw"":""148449406359761880000"",""additionalNums"":""""}"
seq-market,2024-04-15 10:06:55.364,BUY_ITEMS,4974,,1,2fa8db297d3345effdef1cf8552fe3dd3c0b3e6879674569fd,0fe6a98c3269a57c,BR,desktop,windows,6.1,chrome,102.0.5005.61,"{""tokenId"":""215"",""txnHash"":""0x15de82a6cc780f7352920d56a81227567f5bd9ad65f497ff0b2c70948563442a"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""marketplaceType"":""amm"",""requestId"":"""",""currencySymbol"":""SFL"",""additionalProps"":""""}","{""currencyValueDecimal"":""3.069520122951884"",""currencyValueRaw"":""3069520122951884300"",""additionalNums"":""""}"
seq-market,2024-04-15 10:06:55.364,BUY_ITEMS,4974,,1,2fa8db297d3345effdef1cf8552fe3dd3c0b3e6879674569fd,0fe6a98c3269a57c,BR,desktop,windows,6.1,chrome,102.0.5005.61,"{""tokenId"":""211"",""txnHash"":""0x15de82a6cc780f7352920d56a81227567f5bd9ad65f497ff0b2c70948563442a"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""marketplaceType"":""amm"",""requestId"":"""",""currencySymbol"":""SFL"",""additionalProps"":""""}","{""currencyValueDecimal"":""1.0530147905777982"",""currencyValueRaw"":""1053014790577798100"",""additionalNums"":""""}"
seq-market,2024-04-15 10:06:55.364,BUY_ITEMS,4974,,1,2fa8db297d3345effdef1cf8552fe3dd3c0b3e6879674569fd,0fe6a98c3269a57c,BR,desktop,windows,6.1,chrome,102.0.5005.61,"{""tokenId"":""210"",""txnHash"":""0x15de82a6cc780f7352920d56a81227567f5bd9ad65f497ff0b2c70948563442a"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""marketplaceType"":""amm"",""requestId"":"""",""currencySymbol"":""SFL"",""additionalProps"":""""}","{""currencyValueDecimal"":""3.573824963341119"",""currencyValueRaw"":""3573824963341119000"",""additionalNums"":""""}"
seq-market,2024-04-15 10:06:55.364,BUY_ITEMS,4974,,1,2fa8db297d3345effdef1cf8552fe3dd3c0b3e6879674569fd,0fe6a98c3269a57c,BR,desktop,windows,6.1,chrome,102.0.5005.61,"{""tokenId"":""605"",""txnHash"":""0x15de82a6cc780f7352920d56a81227567f5bd9ad65f497ff0b2c70948563442a"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""marketplaceType"":""amm"",""requestId"":"""",""currencySymbol"":""SFL"",""additionalProps"":""""}","{""currencyValueDecimal"":""5.327970393703254"",""currencyValueRaw"":""5327970393703254000"",""additionalNums"":""""}"
seq-market,2024-04-15 10:06:55.364,BUY_ITEMS,4974,,1,2fa8db297d3345effdef1cf8552fe3dd3c0b3e6879674569fd,0fe6a98c3269a57c,BR,desktop,windows,6.1,chrome,102.0.5005.61,"{""tokenId"":""603"",""txnHash"":""0x15de82a6cc780f7352920d56a81227567f5bd9ad65f497ff0b2c70948563442a"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""marketplaceType"":""amm"",""requestId"":"""",""currencySymbol"":""SFL"",""additionalProps"":""""}","{""currencyValueDecimal"":""2.9096783452248176"",""currencyValueRaw"":""2909678345224817700"",""additionalNums"":""""}"
seq-market,2024-04-15 10:06:55.364,BUY_ITEMS,4974,,1,2fa8db297d3345effdef1cf8552fe3dd3c0b3e6879674569fd,0fe6a98c3269a57c,BR,desktop,windows,6.1,chrome,102.0.5005.61,"{""tokenId"":""604"",""txnHash"":""0x15de82a6cc780f7352920d56a81227567f5bd9ad65f497ff0b2c70948563442a"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""marketplaceType"":""amm"",""requestId"":"""",""currencySymbol"":""SFL"",""additionalProps"":""""}","{""currencyValueDecimal"":""11.748178848136718"",""currencyValueRaw"":""11748178848136716000"",""additionalNums"":""""}"
seq-market,2024-04-15 09:26:11.950,BUY_ITEMS,0,,1,30586704ccb19ba34978ac9d715ba9e5dd3a6fa38f4eac200f,69fa890856cdfb1c,TR,desktop,windows,10.0,chrome,123.0.0.0,"{""tokenId"":""215"",""txnHash"":""0x077d7ad61785881766549a16b8cc9d5baf2a13dce62462aed9c0a152ef873a94"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""marketplaceType"":""amm"",""requestId"":"""",""currencySymbol"":""SFL"",""additionalProps"":""""}","{""currencyValueDecimal"":""0.6082135235290317"",""currencyValueRaw"":""608213523529031700"",""additionalNums"":""""}"
seq-market,2024-04-15 09:26:11.950,BUY_ITEMS,0,,1,30586704ccb19ba34978ac9d715ba9e5dd3a6fa38f4eac200f,69fa890856cdfb1c,TR,desktop,windows,10.0,chrome,123.0.0.0,"{""tokenId"":""208"",""txnHash"":""0x077d7ad61785881766549a16b8cc9d5baf2a13dce62462aed9c0a152ef873a94"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""marketplaceType"":""amm"",""requestId"":"""",""currencySymbol"":""SFL"",""additionalProps"":""""}","{""currencyValueDecimal"":""0.26044687212871265"",""currencyValueRaw"":""260446872128712640"",""additionalNums"":""""}"
seq-market,2024-04-15 09:40:14.855,BUY_ITEMS,0,,1,30586704ccb19ba34978ac9d715ba9e5dd3a6fa38f4eac200f,69fa890856cdfb1c,TR,desktop,windows,10.0,chrome,123.0.0.0,"{""tokenId"":""602"",""txnHash"":""0xbe113eb84c2c96a93c4a975789ab1e18058a13027c300df3b7af3de8d281b3fd"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""marketplaceType"":""amm"",""requestId"":"""",""currencySymbol"":""SFL"",""additionalProps"":""""}","{""currencyValueDecimal"":""0.8512952562374139"",""currencyValueRaw"":""851295256237413900"",""additionalNums"":""""}"
seq-market,2024-04-15 10:25:24.292,BUY_ITEMS,0,,1,30586704ccb19ba34978ac9d715ba9e5dd3a6fa38f4eac200f,fb4414084e1ceb05,NL,desktop,windows,10.0,chrome,123.0.0.0,"{""tokenId"":""211"",""txnHash"":""0x608b7b1557c3cc1fd13b38b528b9ec6e6d4d4c8c8cb6dc91c5a573866f40931a"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""marketplaceType"":""amm"",""requestId"":"""",""currencySymbol"":""SFL"",""additionalProps"":""""}","{""currencyValueDecimal"":""1.053907526509773"",""currencyValueRaw"":""1053907526509773000"",""additionalNums"":""""}"
seq-market,2024-04-15 15:20:28.806,BUY_ITEMS,0,,1,30586704ccb19ba34978ac9d715ba9e5dd3a6fa38f4eac200f,3ad3dccba7f92462,TR,desktop,windows,10.0,chrome,123.0.0.0,"{""tokenId"":""211"",""txnHash"":""0x02b783c90284840a50cc6d689f328c9c86efce1b4c97f9bbe981715241e870dc"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""marketplaceType"":""amm"",""requestId"":"""",""currencySymbol"":""SFL"",""additionalProps"":""""}","{""currencyValueDecimal"":""1.3167775491965859"",""currencyValueRaw"":""1316777549196586000"",""additionalNums"":""""}"
seq-market,2024-04-15 01:47:21.733,BUY_ITEMS,4974,,1,323695456b875dae9a554be0bb0dcc1842c584c3264d3fc449,c415492034c5e4da,BR,desktop,windows,10.0,chrome,123.0.0.0,"{""tokenId"":""214"",""txnHash"":""0x015b0bc664be3175747e4fa41039a4b4afcad55f8c56810e132db6fb26828cfe"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""marketplaceType"":""amm"",""requestId"":"""",""currencySymbol"":""SFL"",""additionalProps"":""""}","{""currencyValueDecimal"":""0.6951148608241067"",""currencyValueRaw"":""695114860824106600"",""additionalNums"":""""}"
seq-market,2024-04-15 02:04:29.937,BUY_ITEMS,4974,,1,323695456b875dae9a554be0bb0dcc1842c584c3264d3fc449,f62d32eaba426a07,BR,desktop,windows,10.0,chrome,123.0.0.0,"{""tokenId"":""216"",""txnHash"":""0x7413682bf8d590c72274b7e332e8f00beff1354fd69dc8e809a9469a51da7865"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""marketplaceType"":""amm"",""requestId"":"""",""currencySymbol"":""SFL"",""additionalProps"":""""}","{""currencyValueDecimal"":""0.21009070645206757"",""currencyValueRaw"":""210090706452067550"",""additionalNums"":""""}"
seq-market,2024-04-15 12:40:31.641,BUY_ITEMS,4974,,1,323695456b875dae9a554be0bb0dcc1842c584c3264d3fc449,18bae096ac6c16f3,BR,desktop,windows,10.0,chrome,123.0.0.0,"{""tokenId"":""214"",""txnHash"":""0x839cd9ff364d5fb02e0f15e178330fc198a821b132c72dbb20fed52c4f834493"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""marketplaceType"":""amm"",""requestId"":"""",""currencySymbol"":""SFL"",""additionalProps"":""""}","{""currencyValueDecimal"":""0.41163425722362407"",""currencyValueRaw"":""411634257223624060"",""additionalNums"":""""}"
seq-market,2024-04-15 22:34:10.455,BUY_ITEMS,4974,,1,323695456b875dae9a554be0bb0dcc1842c584c3264d3fc449,fe14dd5b8d4fd434,BR,desktop,windows,10.0,chrome,123.0.0.0,"{""tokenId"":""216"",""txnHash"":""0xf20dcbe4ed33929c5cb0915000fbc472147d18b4f01c98fba13c885b4b339229"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""marketplaceType"":""amm"",""requestId"":"""",""currencySymbol"":""SFL"",""additionalProps"":""""}","{""currencyValueDecimal"":""0.263467852421472"",""currencyValueRaw"":""263467852421472060"",""additionalNums"":""""}"
seq-market,2024-04-15 15:48:20.108,BUY_ITEMS,4974,,1,36408aa5d27aa4b35587758d413c177d37d861140af59e7819,e02ee7f2ea6c87c4,BR,desktop,windows,10.0,chrome,123.0.0.0,"{""tokenId"":""601"",""txnHash"":""0x186d68c1ba9e5301561667d99d2a57912e7faf103cf43906ccf4611e73f320a9"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""marketplaceType"":""amm"",""requestId"":"""",""currencySymbol"":""SFL"",""additionalProps"":""""}","{""currencyValueDecimal"":""2.624746721582972"",""currencyValueRaw"":""2624746721582972000"",""additionalNums"":""""}"
seq-market,2024-04-15 15:48:20.108,BUY_ITEMS,4974,,1,36408aa5d27aa4b35587758d413c177d37d861140af59e7819,e02ee7f2ea6c87c4,BR,desktop,windows,10.0,chrome,123.0.0.0,"{""tokenId"":""602"",""txnHash"":""0x186d68c1ba9e5301561667d99d2a57912e7faf103cf43906ccf4611e73f320a9"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""marketplaceType"":""amm"",""requestId"":"""",""currencySymbol"":""SFL"",""additionalProps"":""""}","{""currencyValueDecimal"":""4.206219564257812"",""currencyValueRaw"":""4206219564257811500"",""additionalNums"":""""}"
seq-market,2024-04-15 15:48:20.108,BUY_ITEMS,4974,,1,36408aa5d27aa4b35587758d413c177d37d861140af59e7819,e02ee7f2ea6c87c4,BR,desktop,windows,10.0,chrome,123.0.0.0,"{""tokenId"":""603"",""txnHash"":""0x186d68c1ba9e5301561667d99d2a57912e7faf103cf43906ccf4611e73f320a9"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""marketplaceType"":""amm"",""requestId"":"""",""currencySymbol"":""SFL"",""additionalProps"":""""}","{""currencyValueDecimal"":""1.6325371501454595"",""currencyValueRaw"":""1632537150145459700"",""additionalNums"":""""}"
seq-market,2024-04-15 19:07:11.702,BUY_ITEMS,0,,1,377e464e46ed30870969857a93c189cb2670e8e3d89bf7a904,53f201ea82211f29,GB,desktop,windows,10.0,chrome,123.0.0.0,"{""tokenId"":""208"",""txnHash"":""0x380ea0e9ead27830c65668b0474abd448dd03a7dbf858bafd145003508ef6f73"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""marketplaceType"":""amm"",""requestId"":"""",""currencySymbol"":""SFL"",""additionalProps"":""""}","{""currencyValueDecimal"":""2.6009591597542023"",""currencyValueRaw"":""2600959159754202600"",""additionalNums"":""""}"
seq-market,2024-04-15 19:07:11.702,BUY_ITEMS,0,,1,377e464e46ed30870969857a93c189cb2670e8e3d89bf7a904,53f201ea82211f29,GB,desktop,windows,10.0,chrome,123.0.0.0,"{""tokenId"":""217"",""txnHash"":""0x380ea0e9ead27830c65668b0474abd448dd03a7dbf858bafd145003508ef6f73"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""marketplaceType"":""amm"",""requestId"":"""",""currencySymbol"":""SFL"",""additionalProps"":""""}","{""currencyValueDecimal"":""7.084652607523644"",""currencyValueRaw"":""7084652607523644000"",""additionalNums"":""""}"
seq-market,2024-04-15 19:07:11.702,BUY_ITEMS,0,,1,377e464e46ed30870969857a93c189cb2670e8e3d89bf7a904,53f201ea82211f29,GB,desktop,windows,10.0,chrome,123.0.0.0,"{""tokenId"":""602"",""txnHash"":""0x380ea0e9ead27830c65668b0474abd448dd03a7dbf858bafd145003508ef6f73"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""marketplaceType"":""amm"",""requestId"":"""",""currencySymbol"":""SFL"",""additionalProps"":""""}","{""currencyValueDecimal"":""4.662416075248221"",""currencyValueRaw"":""4662416075248221000"",""additionalNums"":""""}"
seq-market,2024-04-15 19:07:11.702,BUY_ITEMS,0,,1,377e464e46ed30870969857a93c189cb2670e8e3d89bf7a904,53f201ea82211f29,GB,desktop,windows,10.0,chrome,123.0.0.0,"{""tokenId"":""604"",""txnHash"":""0x380ea0e9ead27830c65668b0474abd448dd03a7dbf858bafd145003508ef6f73"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""marketplaceType"":""amm"",""requestId"":"""",""currencySymbol"":""SFL"",""additionalProps"":""""}","{""currencyValueDecimal"":""4.860911782826974"",""currencyValueRaw"":""4860911782826974000"",""additionalNums"":""""}"
seq-market,2024-04-15 19:07:11.702,BUY_ITEMS,0,,1,377e464e46ed30870969857a93c189cb2670e8e3d89bf7a904,53f201ea82211f29,GB,desktop,windows,10.0,chrome,123.0.0.0,"{""tokenId"":""201"",""txnHash"":""0x380ea0e9ead27830c65668b0474abd448dd03a7dbf858bafd145003508ef6f73"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""marketplaceType"":""amm"",""requestId"":"""",""currencySymbol"":""SFL"",""additionalProps"":""""}","{""currencyValueDecimal"":""2.084474321449185"",""currencyValueRaw"":""2084474321449185000"",""additionalNums"":""""}"
seq-market,2024-04-15 21:04:05.776,BUY_ITEMS,0,,1,377e464e46ed30870969857a93c189cb2670e8e3d89bf7a904,1afb4e6c375e2990,GB,desktop,windows,10.0,chrome,123.0.0.0,"{""tokenId"":""213"",""txnHash"":""0xfc18b43633ef25761114ef1b8f7d1a839ecfc02dc5ec4b3c9af1cfb2319c6c50"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""marketplaceType"":""amm"",""requestId"":"""",""currencySymbol"":""SFL"",""additionalProps"":""""}","{""currencyValueDecimal"":""1.681544919917195"",""currencyValueRaw"":""1681544919917195000"",""additionalNums"":""""}"
seq-market,2024-04-15 21:04:05.776,BUY_ITEMS,0,,1,377e464e46ed30870969857a93c189cb2670e8e3d89bf7a904,1afb4e6c375e2990,GB,desktop,windows,10.0,chrome,123.0.0.0,"{""tokenId"":""214"",""txnHash"":""0xfc18b43633ef25761114ef1b8f7d1a839ecfc02dc5ec4b3c9af1cfb2319c6c50"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""marketplaceType"":""amm"",""requestId"":"""",""currencySymbol"":""SFL"",""additionalProps"":""""}","{""currencyValueDecimal"":""1.3947863450431905"",""currencyValueRaw"":""1394786345043190500"",""additionalNums"":""""}"
